Time,Value
2015-Q1,98.67
2015-Q2,98.88
2015-Q3,100.53
2015-Q4,101.93
2016-Q1,104.32
2016-Q2,108.99
2016-Q3,114.84
2016-Q4,120.77
2017-Q1,123.57
2017-Q2,126.33
2017-Q3,128.19
2017-Q4,129.87
2018-Q1,131.85
2018-Q2,133.59
2018-Q3,135.00
2018-Q4,136.64
2019-Q1,137.95
2019-Q2,138.98
2019-Q3,139.99
2019-Q4,141.09
2020-Q1,142.23
2020-Q2,143.50
2020-Q3,145.52
2020-Q4,147.05
2021-Q1,148.70
2021-Q2,149.89
2021-Q3,150.72
2021-Q4,151.10
2022-Q1,151.50
2022-Q2,151.68
2022-Q3,151.21
