Country,Anxiety Disorder Rate,Suicide Rate
Algeria,5.1,31.75
Angola,3.46,346.55
Benin,2.96,298.57
Botswana,3.74,322.23
Burkina Faso,2.82,423.06
Burundi,3.19,300.79
Cameroon,3.12,430.72
Central African Republic,3.97,490.1
Chad,2.95,366.14
Comoros,3.61,218.62
Congo,3.59,357.47
Equatorial Guinea,3.62,396.02
Eritrea,3.54,392.17
Eswatini,3.47,505.31
Ethiopia,3.12,282.62
Gabon,3.97,369.63
Gambia,3.24,338.63
Ghana,3,322.72
Guinea,3.07,332.61
Guinea-Bissau,2.96,333.26
Kenya,3.3,315.59
Liberia,3.42,240.57
Madagascar,3.68,232.46
Malawi,3.54,334.43
Mali,2.47,228.14
Mauritania,2.72,173.2
Mauritius,4.37,83.89
Mozambique,3.46,540.7
Namibia,3.47,229.15
Niger,2.56,314.72
Nigeria,2.78,311.13
Rwanda,3.51,218.6
Sao Tome and Principe,3.16,40.33
Senegal,2.8,373.49
Seychelles,4.17,98.3
Sierra Leone,3.51,280.13
South Africa,4,256.13
South Sudan,4.36,219.9
Togo,3.45,424.04
Uganda,3.51,316.51
Zambia,3.6,343.85
Zimbabwe,3.07,486.99
