Country/Territory,Number ofbillionaires
United States,735.0
Mainland China,539.0
India,166.0
Germany,134.0
Russia,83.0
Hong Kong,67.0
Canada,64.0
Brazil,62.0
Italy,52.0
Taiwan,51.0
United Kingdom,49.0
Australia,46.0
Sweden,45.0
France,43.0
Switzerland,41.0
South Korea,41.0
Japan,40.0
Indonesia,30.0
Israel,30.0
Thailand,28.0
Spain,27.0
Singapore,26.0
Turkey,24.0
Philippines,20.0
Malaysia,17.0
Mexico,15.0
Norway,13.0
Austria,11.0
Netherlands,11.0
Czech Republic,9.0
Ireland,9.0
Denmark,9.0
Chile,7.0
Egypt,6.0
Finland,6.0
Ukraine,6.0
Lebanon,6.0
Poland,6.0
Portugal,5.0
Kazakhstan,4.0
South Africa,4.0
Argentina,4.0
United Arab Emirates,4.0
Vietnam,4.0
Colombia,3.0
Cyprus,3.0
Greece,3.0
Monaco,3.0
Nigeria,3.0
Bulgaria,2.0
Peru,2.0
New Zealand,2.0
St. Kitts & Nevis,2.0
Romania,2.0
Slovakia,2.0
Georgia,2.0
Uruguay,2.0
Barbados,1.0
Estonia,1.0
Nepal,1.0
Morocco,1.0
Oman,1.0
Belgium,1.0
Venezuela,1.0
Algeria,1.0
Angola,1.0
Eswatini (Swaziland),1.0
Guernsey,1.0
Hungary,1.0
Iceland,1.0
Liechtenstein,1.0
Macau ( China),1.0
Kuwait,1.0
Tanzania,1.0
Zimbabwe,1.0
Qatar,1.0
