,Country,Anxiety Disorder Rate,Suicide Rate,Region
0,Afghanistan,4.74,84.0,Eastern Mediterranean
1,Albania,4.46,59.42,Europe
2,Algeria,5.1,31.75,Africa
3,Angola,3.46,346.55,Africa
4,Antigua and Barbuda,4.92,3.71,Americas
5,Argentina,5.49,93.39,Americas
6,Armenia,3.57,63.53,Europe
7,Australia,6.41,120.25999999999999,Western Pacific
8,Austria,6.61,153.77,Europe
9,Azerbaijan,2.75,66.45,Europe
10,Bahamas,4.9,44.32,Americas
11,Bahrain,5.4,95.02,Eastern Mediterranean
12,Bangladesh,3.3,59.28,South-East Asia
13,Barbados,4.93,4.45,Americas
14,Belarus,4.0,239.41,Europe
15,Belgium,5.57,183.87,Europe
16,Belize,4.41,102.43,Americas
17,Benin,2.96,298.57,Africa
18,Bhutan,3.46,107.3,South-East Asia
19,Bosnia and Herzegovina,4.2,148.97,Europe
20,Botswana,3.74,322.23,Africa
21,Brazil,8.31,79.95,Americas
22,Bulgaria,4.05,114.82,Europe
23,Burkina Faso,2.82,423.06,Africa
24,Burundi,3.19,300.78999999999996,Africa
25,Cambodia,4.61,82.58,Western Pacific
26,Cameroon,3.12,430.72,Africa
27,Canada,4.99,108.29,Americas
28,Central African Republic,3.97,490.1,Africa
29,Chad,2.95,366.14,Africa
30,Chile,6.17,94.39999999999999,Americas
31,China,3.51,164.47,Western Pacific
32,Colombia,5.16,48.58,Americas
33,Comoros,3.61,218.62,Africa
34,Congo,3.59,357.46999999999997,Africa
35,Costa Rica,4.66,67.71,Americas
36,Croatia,4.29,198.81,Europe
37,Cuba,4.86,188.22,Americas
38,Cyprus,7.22,45.93,Europe
39,Czechia,3.7,121.97,Europe
40,Denmark,5.43,121.94999999999999,Europe
41,Djibouti,3.28,292.19,Eastern Mediterranean
42,Dominican Republic,4.74,76.21000000000001,Americas
43,Ecuador,5.54,81.38,Americas
44,Egypt,4.86,44.519999999999996,Eastern Mediterranean
45,El Salvador,4.71,67.35,Americas
46,Equatorial Guinea,3.62,396.02,Africa
47,Eritrea,3.54,392.17,Africa
48,Estonia,3.9,157.26,Europe
49,Eswatini,3.47,505.31,Africa
50,Ethiopia,3.12,282.62,Africa
51,Fiji,4.19,138.78,Western Pacific
52,Finland,4.38,142.93,Europe
53,France,7.0,138.88,Europe
54,Gabon,3.97,369.63,Africa
55,Gambia,3.24,338.63,Africa
56,Georgia,2.81,120.9,Europe
57,Germany,7.07,134.92000000000002,Europe
58,Ghana,3.0,322.72,Africa
59,Greece,6.39,47.49,Europe
60,Grenada,4.75,5.17,Americas
61,Guatemala,4.38,65.67,Americas
62,Guinea,3.07,332.61,Africa
63,Guinea-Bissau,2.96,333.26,Africa
64,Guyana,4.62,507.13,Americas
65,Haiti,4.54,151.79,Americas
66,Honduras,4.18,47.41,Americas
67,Hungary,4.07,187.3,Europe
68,Iceland,5.67,94.33,Europe
69,India,3.08,185.62,South-East Asia
70,Indonesia,3.83,52.540000000000006,South-East Asia
71,Iraq,5.72,73.27,Eastern Mediterranean
72,Ireland,7.62,86.71,Europe
73,Israel,4.01,64.37,Europe
74,Italy,6.15,66.77,Europe
75,Jamaica,4.47,29.91,Americas
76,Japan,2.55,140.89,Western Pacific
77,Jordan,5.37,35.36,Eastern Mediterranean
78,Kazakhstan,2.26,292.08,Europe
79,Kenya,3.3,315.59000000000003,Africa
80,Kiribati,4.02,301.24,Western Pacific
81,Kuwait,5.22,48.26,Eastern Mediterranean
82,Kyrgyzstan,2.12,110.28999999999999,Europe
83,Latvia,4.36,186.25,Europe
84,Lebanon,6.43,36.45,Eastern Mediterranean
85,Lesotho,3.68,1020.26,Africa
86,Liberia,3.42,240.57,Africa
87,Libya,5.94,52.22,Eastern Mediterranean
88,Lithuania,4.98,242.18,Europe
