Time frequency,Information society indicator,Unit of measure,Geopolitical entity (reporting),Time,Value
Annual,Last internet use: in last 3 months,Percentage of individuals,European Union - 27 countries (from 2020),2002,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,European Union - 27 countries (from 2020),2003,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,European Union - 27 countries (from 2020),2004,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,European Union - 27 countries (from 2020),2005,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,European Union - 27 countries (from 2020),2006,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,European Union - 27 countries (from 2020),2007,83.56
Annual,Last internet use: in last 3 months,Percentage of individuals,European Union - 27 countries (from 2020),2008,87.36
Annual,Last internet use: in last 3 months,Percentage of individuals,European Union - 27 countries (from 2020),2009,90.35
Annual,Last internet use: in last 3 months,Percentage of individuals,European Union - 27 countries (from 2020),2010,91.87
Annual,Last internet use: in last 3 months,Percentage of individuals,European Union - 27 countries (from 2020),2011,92.44
Annual,Last internet use: in last 3 months,Percentage of individuals,European Union - 27 countries (from 2020),2012,94.26
Annual,Last internet use: in last 3 months,Percentage of individuals,European Union - 27 countries (from 2020),2013,94.72
Annual,Last internet use: in last 3 months,Percentage of individuals,European Union - 27 countries (from 2020),2014,95.86
Annual,Last internet use: in last 3 months,Percentage of individuals,European Union - 27 countries (from 2020),2015,96.24
Annual,Last internet use: in last 3 months,Percentage of individuals,European Union - 27 countries (from 2020),2016,96.24
Annual,Last internet use: in last 3 months,Percentage of individuals,European Union - 27 countries (from 2020),2017,97.04
Annual,Last internet use: in last 3 months,Percentage of individuals,European Union - 27 countries (from 2020),2018,97.18
Annual,Last internet use: in last 3 months,Percentage of individuals,European Union - 27 countries (from 2020),2019,97.57
Annual,Last internet use: in last 3 months,Percentage of individuals,European Union - 27 countries (from 2020),2020,97.55
Annual,Last internet use: in last 3 months,Percentage of individuals,European Union - 27 countries (from 2020),2021,97.76
Annual,Last internet use: in last 3 months,Percentage of individuals,European Union - 27 countries (from 2020),2022,97.86
Annual,Last internet use: in last 3 months,Percentage of individuals,European Union - 28 countries (2013-2020),2002,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,European Union - 28 countries (2013-2020),2003,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,European Union - 28 countries (2013-2020),2004,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,European Union - 28 countries (2013-2020),2005,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,European Union - 28 countries (2013-2020),2006,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,European Union - 28 countries (2013-2020),2007,84.39
Annual,Last internet use: in last 3 months,Percentage of individuals,European Union - 28 countries (2013-2020),2008,88.12
