Entity,Code,Year,Prevalence - Eating disorders - Sex: Both - Age: 20 to 24 (Percent),Prevalence - Eating disorders - Sex: Both - Age: 10 to 14 (Percent),Prevalence - Eating disorders - Sex: Both - Age: All Ages (Percent),Prevalence - Eating disorders - Sex: Both - Age: 30 to 34 (Percent),Prevalence - Eating disorders - Sex: Both - Age: 25 to 29 (Percent),Prevalence - Eating disorders - Sex: Both - Age: 5-14 years (Percent),Prevalence - Eating disorders - Sex: Both - Age: 50-69 years (Percent),Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Eating disorders - Sex: Both - Age: 70+ years (Percent),Prevalence - Eating disorders - Sex: Both - Age: 15 to 19 (Percent)
Afghanistan,AFG,1990,0.31,0.1,0.12,0.3,0.31,0.05,0,0.13,0,0.28
Afghanistan,AFG,1991,0.3,0.1,0.12,0.29,0.29,0.04,0,0.13,0,0.27
Afghanistan,AFG,1992,0.29,0.09,0.12,0.28,0.28,0.04,0,0.12,0,0.26
Afghanistan,AFG,1993,0.28,0.09,0.12,0.27,0.27,0.04,0,0.12,0,0.25
Afghanistan,AFG,1994,0.27,0.09,0.12,0.26,0.26,0.04,0,0.11,0,0.25
Afghanistan,AFG,1995,0.26,0.09,0.11,0.25,0.25,0.04,0,0.11,0,0.24
Afghanistan,AFG,1996,0.26,0.09,0.11,0.24,0.25,0.04,0,0.11,0,0.24
Afghanistan,AFG,1997,0.25,0.08,0.1,0.23,0.24,0.03,0,0.1,0,0.23
Afghanistan,AFG,1998,0.24,0.08,0.1,0.22,0.23,0.03,0,0.1,0,0.22
Afghanistan,AFG,1999,0.24,0.08,0.09,0.22,0.22,0.03,0,0.1,0,0.22
Afghanistan,AFG,2000,0.24,0.08,0.09,0.21,0.22,0.03,0,0.1,0,0.22
Afghanistan,AFG,2001,0.24,0.08,0.09,0.22,0.22,0.03,0,0.1,0,0.22
Afghanistan,AFG,2002,0.24,0.08,0.09,0.22,0.22,0.03,0,0.1,0,0.22
Afghanistan,AFG,2003,0.24,0.08,0.1,0.22,0.22,0.04,0,0.1,0,0.22
Afghanistan,AFG,2004,0.24,0.08,0.1,0.22,0.23,0.04,0,0.1,0,0.22
Afghanistan,AFG,2005,0.24,0.08,0.1,0.22,0.23,0.04,0,0.1,0,0.22
Afghanistan,AFG,2006,0.24,0.08,0.1,0.22,0.23,0.04,0,0.1,0,0.22
