networthusbillion,citizenship,industry
1,Poland,Real Estate
1,Russia,Real Estate
1,Russia,Money Management
1,Spain,Real Estate
1,Ukraine,Money Management
1.1,Russia,Hedge funds
1.1,Russia,Money Management
1.1,United Kingdom,Hedge funds
1.2,Cyprus,Real Estate
1.2,Russia,Real Estate
1.2,Russia,Real Estate
1.2,Russia,Real Estate
1.2,Russia,Real Estate
1.2,United Kingdom,Real Estate
1.2,United Kingdom,Real Estate
1.3,France,Real Estate
1.3,Monaco,Money Management
1.3,Sweden,Hedge funds
1.3,United Kingdom,Money Management
1.4,Czech Republic,Real Estate
1.4,Norway,Real Estate
1.4,Russia,Real Estate
1.4,Russia,Money Management
1.4,Russia,Money Management
1.4,Russia,Money Management
1.6,United Kingdom,Hedge funds
1.7,Germany,Money Management
1.7,Switzerland,Money Management
1.8,Russia,Real Estate
1.8,Russia,Money Management
1.8,Spain,Money Management
1.9,France,Money Management
2,Germany,Real Estate
2,Ireland,Money Management
2,Russia,Money Management
2,Russia,Money Management
2,Russia,Money Management
2,Switzerland,Money Management
2.1,Germany,Money Management
2.1,Spain,Money Management
2.1,Ukraine,Money Management
2.2,Norway,Hedge funds
2.2,United Kingdom,Money Management
2.2,United Kingdom,Real Estate
2.3,Russia,Real Estate
2.3,Russia,Real Estate
2.3,Ukraine,Money Management
2.3,United Kingdom,Real Estate
2.4,Guernsey,Money Management
2.4,Poland,Money Management
2.4,Spain,Real Estate
2.5,Italy,Money Management
2.5,Russia,Real Estate
2.6,Russia,Hedge funds
2.8,Germany,Real Estate
3.1,Russia,Money Management
3.1,United Kingdom,Real Estate
3.2,Greece,Money Management
3.4,Sweden,Real Estate
3.6,Russia,Real Estate
3.6,Russia,Real Estate
3.6,United Kingdom,Real Estate
3.6,United Kingdom,Hedge funds
3.8,United Kingdom,Money Management
5.4,Russia,Money Management
5.5,United Kingdom,Money Management
6.9,United Kingdom,Real Estate
11,Czech Republic,Money Management
11.5,United Kingdom,Money Management
13,United Kingdom,Real Estate
