Country,Internet Usage,Mental disorders prevalence
Afghanistan,18.4,17.12
Albania,79.32,11.56
Algeria,62.9,14.78
American Samoa,0,11.24
Andorra,91.57,15.5
Angola,36,13.34
Antigua and Barbuda,73,14.18
Argentina,87.15,13.6
Armenia,76.51,11.38
Australia,89.6,19.35
Austria,92.53,15.82
Azerbaijan,84.6,10.42
Bahrain,100,14.57
Bangladesh,24.8,11.8
Barbados,81.76,14.38
Belarus,86.89,12.57
Belgium,92.79,14.96
Belize,50.8,14.33
Benin,25.8,11.85
Bermuda,98.37,14.52
Bhutan,85.64,12.07
Bolivia,59.94,15.06
Bosnia and Herzegovina,75.68,11.51
Botswana,64,11.87
Brazil,81.34,16.72
Bulgaria,75.27,11.14
Burkina Faso,22,11.66
Burundi,9.4,13.09
Cambodia,32.9,12.36
Cameroon,37.8,11.89
Canada,92.3,14.95
Central African Republic,10.4,14.65
Chad,10.4,12.65
Chile,88.3,15.2
China,73.05,11.31
Colombia,69.79,12.05
Comoros,8.48,12.23
Costa Rica,82.75,13.01
Cote d'Ivoire,36.29,11.19
Croatia,81.25,11.69
Cuba,71.12,15.15
Cyprus,90.76,15.7
Czechia,82.67,11.14
Denmark,98.87,14.1
Djibouti,59,12.04
Dominica,69.62,14.28
Dominican Republic,76.9,15.04
Ecuador,70.7,14.59
El Salvador,54.6,13.24
Equatorial Guinea,26.24,13.21
Eritrea,1.31,12.92
Estonia,91.04,12.19
Eswatini,30.3,11.93
Ethiopia,16.7,12.48
Fiji,68.9,11.54
Finland,92.81,14.96
France,86.1,16.63
Gabon,62,13.11
Georgia,76.44,11.06
Germany,91.43,15
Ghana,68.6,11.4
Greece,78.49,17.05
Greenland,69.48,17.54
Grenada,56.9,14.37
Guam,80.5,11.59
Guatemala,50.84,13.23
Guinea,26,11.85
Guinea-Bissau,22.9,11.77
Guyana,37.33,15.81
Haiti,34.5,15.13
Honduras,42.05,12.71
Hungary,88.64,11.31
Iceland,99.69,14.6
India,43,13.73
Indonesia,62.1,10.68
Iraq,44.33,14.91
Ireland,92,17.61
Israel,90.13,14.48
Italy,74.86,15.03
Jamaica,68.22,14.02
Japan,90.22,10.58
Jordan,65.2,15.04
Kazakhstan,90.92,10.61
Kenya,29.5,12.34
Kiribati,38,12.22
Kuwait,99.7,14.05
Latvia,91.18,12.62
Lebanon,84.1,16.44
Lesotho,43,13.31
Liberia,25.6,12.49
Libya,17.76,15.4
Lithuania,86.93,13.25
Luxembourg,98.83,14.91
Madagascar,15,13.04
Malawi,9.9,12.5
Malaysia,96.75,12.23
Maldives,62.93,11.07
Mali,27.4,10.57
Malta,87.47,15.72
Marshall Islands,38.7,11.86
Mauritania,40.8,10.58
Mauritius,64.89,11.86
Mexico,71.97,12.26
Moldova,76.12,12.8
Monaco,97.05,16.05
Mongolia,84.33,11.27
Montenegro,82.22,11.63
Morocco,88.13,15.75
Mozambique,16.5,13.37
Myanmar,35.1,10.89
Namibia,41,11.09
Nauru,62.38,11.79
Nepal,37.7,13.83
Netherlands,92.05,16.6
New Zealand,91.5,19.04
Nicaragua,45.2,13.27
Niger,10.22,11.63
Nigeria,35.5,10.72
North Macedonia,81.41,11.34
Northern Mariana Islands,0,11.24
Norway,99,15.98
Oman,95.23,13.73
Pakistan,25,13.08
Palau,26.97,11.65
Panama,64.25,12.18
Papua New Guinea,11.21,11.91
Paraguay,77.02,15.84
Peru,71.11,13.82
Philippines,49.8,11.94
Poland,85.38,10.6
Portugal,82.31,18.45
Puerto Rico,77.74,14.24
Qatar,99.65,13.63
Romania,83.59,11.1
Rwanda,23.8,13.08
Samoa,33.61,11.59
San Marino,60.18,15.94
Sao Tome and Principe,33,11
Saudi Arabia,100,13.7
Senegal,42.6,11
Serbia,81.17,11.38
Seychelles,79,10.86
Sierra Leone,18,12.33
Slovenia,89,11.63
Solomon Islands,11.92,12.23
Somalia,2,14.36
South Africa,70,12.01
South Sudan,6.5,13.31
Spain,93.9,18.32
Sri Lanka,35,11.45
Sudan,28.4,15.99
Suriname,70.06,15.45
Sweden,88.31,15.33
Switzerland,95.57,17.07
Tajikistan,21.96,11.04
Tanzania,22,12.58
Thailand,85.27,12.04
Togo,24,12.31
Tonga,41.25,11.54
Trinidad and Tobago,70.6,14.58
Tunisia,71.9,16.08
Turkmenistan,21.25,10.53
Tuvalu,35.2,12.14
Uganda,6.1,14.59
Ukraine,75.04,12.4
United Arab Emirates,100,12.53
United Kingdom,94.82,15.13
United States,90.9,16.93
Uruguay,86.1,14.15
Uzbekistan,71.1,10.56
Vanuatu,25.72,11.97
Vietnam,74.21,9.52
World,59.58,12.8
Zambia,19.8,12.11
Zimbabwe,29.3,11.12
