,Country,Anxiety Disorder Rate,Suicide Rate,Region
0,AFG,5.03,5.96,EMR
1,ALB,4.1,3.72,EUR
2,DZA,5.05,2.6,AFR
3,AGO,4.01,12.5546,AFR
4,ATG,4.54,0.32,AMR
5,ARG,5.36,8.14,AMR
6,ARM,3.37,2.66,EUR
7,AUS,6.41,11.2523,WPR
8,AUT,6.58,10.4022,EUR
9,AZE,2.64,3.97,EUR
10,BHS,4.56,3.37,AMR
11,BHR,5.15,7.2,EMR
12,BGD,3.27,3.85,SEAR
13,BRB,4.56,0.305,AMR
14,BLR,3.76,16.4924,EUR
15,BEL,5.55,13.9283,EUR
16,BLZ,4.37,7.65,AMR
17,BEN,3.29,12.7127,AFR
18,BTN,3.38,5.07,SEAR
19,BOL,5.99,6.82,AMR
20,BIH,3.78,8.25,EUR
21,BWA,3.72,20.2166,AFR
22,BRA,7.77,6.41,AMR
23,BRN,3.09,2.54,WPR
24,BGR,3.64,6.5,EUR
25,BFA,3.15,14.38,AFR
26,BDI,3.71,12.1224,AFR
27,KHM,4.71,5.49,WPR
28,CMR,3.28,15.9215,AFR
29,CAN,4.77,10.3408,AMR
30,CPV,3.23,15.2308,AFR
31,CAF,4.45,22.963,AFR
32,TCD,3.43,13.2237,AFR
33,CHL,5.92,8.04,AMR
34,CHN,3.39,6.67,WPR
35,COL,4.98,3.74,AMR
36,COM,3.68,8.46,AFR
37,COG,3.81,11.6181,AFR
38,CRI,4.47,7.62,AMR
39,CIV,3.3,15.6586,AFR
40,HRV,3.87,11.0095,EUR
41,CUB,4.49,10.1905,AMR
42,CYP,7.01,3.18,EUR
43,CZE,3.4,9.48,EUR
44,COD,3.85,12.4111,AFR
45,DNK,5.39,7.63,EUR
46,DJI,3.39,11.9485,EMR
47,DOM,4.71,5.11,AMR
48,ECU,5.51,7.68,AMR
49,EGY,4.81,3.41,EMR
50,SLV,4.65,6.11,AMR
51,GNQ,3.89,13.5086,AFR
52,ERI,3.85,17.2563,AFR
53,EST,3.65,11.9633,EUR
54,SWZ,3.62,40.4572,AFR
55,ETH,3.54,9.45,AFR
56,FJI,4.2,9.51,WPR
57,FIN,4.39,13.4337,EUR
58,FRA,6.91,9.65,EUR
59,GAB,4.06,13.1117,AFR
60,GMB,3.41,9.64,AFR
61,GEO,2.66,7.65,EUR
62,DEU,6.81,8.27,EUR
63,GHA,3.07,10.5411,AFR
64,GRC,6.31,3.62,EUR
65,GRD,4.48,0.636,AMR
66,GTM,4.46,6.23,AMR
67,GIN,3.39,12.3257,AFR
68,GNB,3.15,12.3787,AFR
69,GUY,4.53,40.8524,AMR
70,HTI,4.74,11.1732,AMR
71,HND,4.27,2.58,AMR
72,HUN,3.67,11.7749,EUR
73,ISL,5.6,11.1504,EUR
74,IND,3.04,12.9087,SEAR
75,IDN,3.7,2.55,SEAR
76,IRN,7.62,5.13,EMR
77,IRQ,5.6,4.74,EMR
78,IRL,7.62,8.9,EUR
79,ISR,4.05,5.15,EUR
80,ITA,5.98,4.33,EUR
81,JAM,4.24,2.28,AMR
82,JPN,2.54,12.2413,WPR
83,JOR,5.23,1.98,EMR
84,KAZ,2.26,18.0523,EUR
85,KEN,3.52,11.0129,AFR
86,KIR,4.22,30.5625,WPR
87,KWT,4.92,2.66,EMR
88,KGZ,2.18,8.28,EUR
89,LAO,4.75,5.98,WPR
90,LVA,4.05,16.0631,EUR
91,LBN,6.42,2.76,EMR
93,LBR,3.55,7.37,AFR
94,LBY,5.56,4.49,EMR
95,LTU,4.58,20.1545,EUR
96,LUX,5.81,8.62,EUR
97,MDG,4.07,9.18,AFR
98,MWI,3.96,10.5762,AFR
99,MYS,4.88,5.77,WPR
100,MDV,3.74,2.76,SEAR
101,MLI,2.77,7.96,AFR
102,MLT,6.87,5.32,EUR
103,MRT,2.82,5.47,AFR
104,MUS,3.96,8.75,AFR
105,MEX,3.74,5.29,AMR
106,FSM,4.19,28.9856,WPR
107,MDA,4.36,12.1666,EUR
108,MNG,2.27,18.0245,WPR
109,MNE,3.93,16.2247,EUR
110,MAR,5.03,7.29,EMR
111,MOZ,4.11,23.1947,AFR
112,MMR,4.09,2.96,SEAR
113,NAM,3.61,13.5141,AFR
114,NPL,3.39,9.77,SEAR
115,NLD,7.45,9.27,EUR
116,NZL,8.04,10.2951,WPR
117,NIC,4.63,4.66,AMR
118,NER,3.02,10.1456,AFR
119,NGA,3.03,6.87,AFR
120,PRK,3.82,8.2,SEAR
121,MKD,3.85,7.15,EUR
122,NOR,7.3,9.91,EUR
123,OMN,4.8,4.47,EMR
124,PAK,3.61,9.77,EMR
125,PAN,3.88,2.86,AMR
126,PNG,4.08,3.57,WPR
127,PRY,6.65,6.16,AMR
128,PER,5.84,2.73,AMR
129,PHL,4.75,2.54,WPR
130,POL,3.35,9.3,EUR
131,PRT,8.79,7.22,EUR
132,QAT,4.54,4.66,EMR
133,ROU,3.51,7.33,EUR
134,RUS,3.38,21.5962,EUR
135,RWA,3.77,9.45,AFR
136,LCA,4.51,6.85,AMR
137,VCT,4.48,1.01,AMR
138,WSM,4.2,14.6024,WPR
139,STP,3.19,2.2,AFR
140,SAU,4.77,5.43,EMR
141,SEN,2.95,10.9934,AFR
142,SRB,3.57,7.86,EUR
143,SYC,3.94,7.73,AFR
144,SLE,3.72,11.2529,AFR
145,SGP,2.97,9.65,WPR
146,SVK,3.68,9.31,EUR
147,SVN,3.66,13.9658,EUR
148,SLB,4.14,17.3741,WPR
149,SOM,3.33,14.6618,EMR
150,ZAF,3.92,23.4856,AFR
151,KOR,3.49,21.1625,WPR
152,SSD,5.08,6.69,AFR
153,ESP,5.36,5.28,EUR
154,LKA,4.25,12.8878,SEAR
155,SDN,4.94,4.76,EMR
156,SUR,4.32,25.8913,AMR
157,SWE,5.21,12.3731,EUR
158,CHE,7.49,9.83,EUR
159,SYR,5.91,2.11,EMR
160,TJK,2.54,5.32,EUR
161,TZA,3.91,8.15,AFR
162,THA,3.57,7.95,SEAR
163,TLS,3.91,4.53,SEAR
164,TGO,3.66,14.8097,AFR
165,TON,4.25,4.37,WPR
166,TTO,4.08,8.28,AMR
167,TUN,5.47,3.18,EMR
168,TUR,4.76,2.34,EUR
169,TKM,2.49,6.07,EUR
170,UGA,4.15,10.4467,AFR
