Country,Mental Health Disorder Rate,Suicide Rate,Region
AFG,17.12,5.96,EMR
AGO,13.34,12.5546,AFR
ALB,11.56,3.72,EUR
ARE,12.53,5.24,EMR
ARG,13.6,8.14,AMR
ARM,11.38,2.66,EUR
ATG,14.18,0.32,AMR
AUS,19.35,11.2523,WPR
AUT,15.82,10.4022,EUR
AZE,10.42,3.97,EUR
BDI,13.09,12.1224,AFR
BEL,14.96,13.9283,EUR
BEN,11.85,12.7127,AFR
BFA,11.66,14.38,AFR
BGD,11.8,3.85,SEAR
BGR,11.14,6.5,EUR
BHR,14.57,7.2,EMR
BHS,14.16,3.37,AMR
BIH,11.51,8.25,EUR
BLR,12.57,16.4924,EUR
BLZ,14.33,7.65,AMR
BOL,15.06,6.82,AMR
BRA,16.72,6.41,AMR
BRB,14.38,0.305,AMR
BRN,10.36,2.54,WPR
BTN,12.07,5.07,SEAR
BWA,11.87,20.2166,AFR
CAF,14.65,22.963,AFR
CAN,14.95,10.3408,AMR
CHE,17.07,9.83,EUR
CHL,15.2,8.04,AMR
CHN,11.31,6.67,WPR
CIV,11.19,15.6586,AFR
CMR,11.89,15.9215,AFR
COD,13.64,12.4111,AFR
COG,13.04,11.6181,AFR
COL,12.05,3.74,AMR
COM,12.23,8.46,AFR
CPV,12.13,15.2308,AFR
CRI,13.01,7.62,AMR
CUB,15.15,10.1905,AMR
CYP,15.7,3.18,EUR
CZE,11.14,9.48,EUR
DEU,15,8.27,EUR
DJI,12.04,11.9485,EMR
DNK,14.1,7.63,EUR
DOM,15.04,5.11,AMR
DZA,14.78,2.6,AFR
ECU,14.59,7.68,AMR
EGY,14.58,3.41,EMR
ERI,12.92,17.2563,AFR
ESP,18.32,5.28,EUR
EST,12.19,11.9633,EUR
ETH,12.48,9.45,AFR
FIN,14.96,13.4337,EUR
FJI,11.54,9.51,WPR
FRA,16.63,9.65,EUR
FSM,11.93,28.9856,WPR
GAB,13.11,13.1117,AFR
GBR,15.13,6.88,EUR
GEO,11.06,7.65,EUR
GHA,11.4,10.5411,AFR
GIN,11.85,12.3257,AFR
GMB,13.05,9.64,AFR
GNB,11.77,12.3787,AFR
GNQ,13.21,13.5086,AFR
GRC,17.05,3.62,EUR
GRD,14.37,0.636,AMR
GTM,13.23,6.23,AMR
GUY,15.81,40.8524,AMR
HND,12.71,2.58,AMR
HRV,11.69,11.0095,EUR
